,variable,relative_importance,scaled_importance,percentage
0,ExterQual.Ex,1.0,1.0,0.00375561489937
1,LandContour.Bnk,0.991249084473,0.991249084473,0.00372274983063
2,MiscFeature.NA,0.98988699913,0.98988699913,0.00371763436263
3,GarageQual.Fa,0.987122356892,0.987122356892,0.00370725143105
4,Exterior1st.BrkFace,0.981203556061,0.981203556061,0.00368502269446
5,ExterQual.TA,0.968287348747,0.968287348747,0.00363651439383
6,LotConfig.FR2,0.964950144291,0.964950144291,0.00362398113905
7,SaleCondition.Normal,0.961117982864,0.961117982864,0.0036095890165
8,Functional.Min2,0.960085988045,0.960085988045,0.00360571324138
9,BsmtExposure.Mn,0.959015130997,0.959015130997,0.00360169151469
10,BsmtFinType2.ALQ,0.953674554825,0.953674554825,0.00358163436725
11,CentralAir.Y,0.948795318604,0.948795318604,0.003563309835
12,SaleType.WD,0.947714567184,0.947714567184,0.00355925094887
13,LandContour.Lvl,0.946112394333,0.946112394333,0.00355323380464
14,Neighborhood.Timber,0.945982575417,0.945982575417,0.00355274625478
15,GrLivArea,0.944692969322,0.944692969322,0.00354790299092
16,Neighborhood.StoneBr,0.942594230175,0.942594230175,0.00354002093491
17,RoofMatl.WdShngl,0.942114531994,0.942114531994,0.00353821937327
18,HouseStyle.1.5Unf,0.939642608166,0.939642608166,0.00352893577931
19,HeatingQC.TA,0.939156711102,0.939156711102,0.00352711093706
20,Functional.Maj1,0.936499893665,0.936499893665,0.00351713295391
21,ExterQual.Gd,0.935740470886,0.935740470886,0.00351428085441
22,LandContour.Low,0.935326099396,0.935326099396,0.00351272463466
23,FireplaceQu.NA,0.9322732687,0.9322732687,0.00350125937821
24,Neighborhood.Edwards,0.930067896843,0.930067896843,0.00349297685081
25,RoofMatl.CompShg,0.92960870266,0.92960870266,0.00349125229429
26,HouseStyle.2.5Unf,0.929250001907,0.929250001907,0.0034899051524
27,PoolQC.Fa,0.928466916084,0.928466916084,0.00348696418362
28,FireplaceQu.TA,0.927525997162,0.927525997162,0.0034834304545
29,Foundation.Slab,0.926251232624,0.926251232624,0.0034786429298
30,Exterior2nd.VinylSd,0.925404131413,0.925404131413,0.00347546154387
31,BsmtFinType1.ALQ,0.923018872738,0.923018872738,0.00346650343086
32,Heating.Floor,0.922615349293,0.922615349293,0.00346498795219
33,Exterior1st.MetalSd,0.920272409916,0.920272409916,0.00345618877416
34,TotalBsmtSF,0.919914186001,0.919914186001,0.00345484342309
35,Street.Grvl,0.919068932533,0.919068932533,0.00345166897657
36,Neighborhood.Veenker,0.91803252697,0.91803252697,0.0034477766364
37,Neighborhood.NridgHt,0.91792088747,0.91792088747,0.00344735736143
38,GarageFinish.RFn,0.917565703392,0.917565703392,0.00344602342681
39,Street.Pave,0.917434811592,0.917434811592,0.00344553184762
40,Utilities.NoSeWa,0.917255878448,0.917255878448,0.00344485984364
41,RoofStyle.Gable,0.916954517365,0.916954517365,0.00344372804746
42,GarageType.2Types,0.915411412716,0.915411412716,0.00343793274065
43,Electrical.FuseA,0.914909422398,0.914909422398,0.00343604745833
44,FireplaceQu.Ex,0.914846479893,0.914846479893,0.00343581107052
45,BsmtCond.NA,0.91470092535,0.91470092535,0.00343526442371
46,Neighborhood.NoRidge,0.914175748825,0.914175748825,0.00343329206293
47,FireplaceQu.Fa,0.914056479931,0.914056479931,0.0034328441349
48,Condition2.Norm,0.914014220238,0.914014220238,0.00343268542376
49,Exterior2nd.BrkFace,0.914005160332,0.914005160332,0.00343265139824
50,GarageType.Attchd,0.913565337658,0.913565337658,0.00343099959366
51,BsmtQual.Gd,0.913543105125,0.913543105125,0.00343091609683
52,KitchenQual.Ex,0.911946296692,0.911946296692,0.00342491909928
53,Condition1.RRNe,0.911866724491,0.911866724491,0.00342462025674
54,HouseStyle.SLvl,0.911020159721,0.911020159721,0.00342144088548
55,2ndFlrSF,0.910328447819,0.910328447819,0.00341884308195
56,Condition1.Norm,0.909861385822,0.909861385822,0.00341708897696
57,BsmtQual.Fa,0.90813678503,0.90813678503,0.00341061204053
58,GarageCond.Gd,0.90704113245,0.90704113245,0.00340649719137
59,Neighborhood.IDOTRR,0.906109154224,0.906109154224,0.00340299704006
60,HeatingQC.Ex,0.905284225941,0.905284225941,0.00339989892711
61,Exterior2nd.Wd Shng,0.904415011406,0.904415011406,0.00339663449205
62,Exterior1st.Wd Sdng,0.904377877712,0.904377877712,0.0033964950322
63,Fence.GdWo,0.903765678406,0.903765678406,0.00339419584736
64,SaleCondition.Abnorml,0.903628885746,0.903628885746,0.00339368210681
65,RoofStyle.Flat,0.902976036072,0.902976036072,0.00339123025485
66,Neighborhood.CollgCr,0.900558710098,0.900558710098,0.0033821517094
67,ExterCond.Ex,0.900418817997,0.900418817997,0.00338162632854
68,FireplaceQu.Gd,0.899942874908,0.899942874908,0.00337983886959
69,RoofMatl.Membran,0.899193227291,0.899193227291,0.00337702348183
70,Neighborhood.NWAmes,0.899160206318,0.899160206318,0.00337689946777
71,OverallCond,0.899141073227,0.899141073227,0.00337682761125
72,Fence.GdPrv,0.899020493031,0.899020493031,0.00337637475847
73,RoofMatl.WdShake,0.897756636143,0.897756636143,0.00337162819871
74,BldgType.2fmCon,0.89756923914,0.89756923914,0.00337092440773
75,SaleType.Oth,0.897172212601,0.897172212601,0.00336943332895
76,Exterior2nd.CBlock,0.896821022034,0.896821022034,0.00336811439242
77,Foundation.Wood,0.896646559238,0.896646559238,0.00336745917735
78,BldgType.Twnhs,0.896560311317,0.896560311317,0.00336713526337
79,MasVnrType.BrkFace,0.896339297295,0.896339297295,0.00336630521981
80,Heating.GasW,0.895725309849,0.895725309849,0.00336399931941
81,HeatingQC.Fa,0.895709276199,0.895709276199,0.0033639391032
82,Foundation.CBlock,0.895418941975,0.895418941975,0.00336284871966
83,LandSlope.Sev,0.894724786282,0.894724786282,0.0033602417382
84,GarageCond.Fa,0.894176721573,0.894176721573,0.00335818341821
85,Exterior2nd.Stone,0.893564879894,0.893564879894,0.00335588557649
86,Exterior1st.CemntBd,0.892836630344,0.892836630344,0.00335315055163
87,BsmtQual.TA,0.892272472382,0.892272472382,0.00335103179158
88,RoofMatl.ClyTile,0.891950726509,0.891950726509,0.00334982343798
89,1stFlrSF,0.890811562538,0.890811562538,0.0033455451768
90,BsmtExposure.No,0.890638768673,0.890638768673,0.00334489622959
91,ExterCond.TA,0.890547513962,0.890547513962,0.00334455351203
92,SaleType.COD,0.889591574669,0.889591574669,0.00334096337218
93,HouseStyle.1.5Fin,0.889575183392,0.889575183392,0.00334090181286
94,RoofStyle.Mansard,0.889335751534,0.889335751534,0.003340002599
95,GarageCond.NA,0.889292180538,0.889292180538,0.00333983896312
96,Alley.NA,0.889149606228,0.889149606228,0.00333930350892
97,RoofMatl.Roll,0.889035880566,0.889035880566,0.00333887639913
98,Exterior1st.Stucco,0.888424396515,0.888424396515,0.00333657990052
99,RoofMatl.Tar&Grv,0.887649953365,0.887649953365,0.00333367139029
100,BsmtExposure.NA,0.887433588505,0.887433588505,0.00333285880719
101,Condition1.RRNn,0.8868932724,0.8868932724,0.00333082958798
102,PavedDrive.Y,0.886776506901,0.886776506901,0.00333039106173
103,Functional.Sev,0.885294616222,0.885294616222,0.00332482565102
104,Functional.Typ,0.885137438774,0.885137438774,0.00332423535305
105,Foundation.BrkTil,0.884526610374,0.884526610374,0.00332194131681
106,BsmtCond.Fa,0.884369790554,0.884369790554,0.00332135236196
107,Electrical.SBrkr,0.884142458439,0.884142458439,0.00332049859008
108,GarageQual.TA,0.884115755558,0.884115755558,0.00332039830434
109,Exterior1st.Stone,0.884018421173,0.884018421173,0.00332003275388
